respondent_id,question_id,ground_truth
R001,q1_would_subscribe,2
R001,q2_subscription_likelihood,4
R001,q3_platform_trust,5
R001,q4_price_preference,2
R001,q5_recommend,2
R001,q6_feature_importance,4
R002,q1_would_subscribe,1
R002,q2_subscription_likelihood,2
R002,q3_platform_trust,3
R002,q4_price_preference,1
R002,q5_recommend,1
R002,q6_feature_importance,2
R003,q1_would_subscribe,2
R003,q2_subscription_likelihood,5
R003,q3_platform_trust,6
R003,q4_price_preference,3
R003,q5_recommend,2
R003,q6_feature_importance,5
