respondent_id,question_id,ground_truth,gender,age_group,persona_group,occupation
R001,q1_purchase_intent,3,Female,35-44,Frequent Players - Tech Savvy,Manager
R001,q2_uniqueness,2,Female,35-44,Frequent Players - Tech Savvy,Manager
R001,q3_value_for_money,3,Female,35-44,Frequent Players - Tech Savvy,Manager
R001,q4_likeability,6,Female,35-44,Frequent Players - Tech Savvy,Manager
R001,q5_relevance,1,Female,35-44,Frequent Players - Tech Savvy,Manager
R001,q6_excitement,1,Female,35-44,Frequent Players - Tech Savvy,Manager
R001,q7_believability,4,Female,35-44,Frequent Players - Tech Savvy,Manager
R001,q8_understanding,6,Female,35-44,Frequent Players - Tech Savvy,Manager
R001,q9_trust,1,Female,35-44,Frequent Players - Tech Savvy,Manager
R001,q10_recommendation,3,Female,35-44,Frequent Players - Tech Savvy,Manager
R001,q11_feature_importance,7,Female,35-44,Frequent Players - Tech Savvy,Manager
R001,q12_current_lottery_play,1,Female,35-44,Frequent Players - Tech Savvy,Manager
R001,q13_price_preference,1,Female,35-44,Frequent Players - Tech Savvy,Manager
R001,q14_usage_frequency,1,Female,35-44,Frequent Players - Tech Savvy,Manager
R002,q1_purchase_intent,3,Male,35-44,Frequent Players - Tech Savvy,Professional
R002,q2_uniqueness,5,Male,35-44,Frequent Players - Tech Savvy,Professional
R002,q3_value_for_money,5,Male,35-44,Frequent Players - Tech Savvy,Professional
R002,q4_likeability,4,Male,35-44,Frequent Players - Tech Savvy,Professional
R002,q5_relevance,5,Male,35-44,Frequent Players - Tech Savvy,Professional
R002,q6_excitement,3,Male,35-44,Frequent Players - Tech Savvy,Professional
R002,q7_believability,4,Male,35-44,Frequent Players - Tech Savvy,Professional
R002,q8_understanding,7,Male,35-44,Frequent Players - Tech Savvy,Professional
R002,q9_trust,5,Male,35-44,Frequent Players - Tech Savvy,Professional
R002,q10_recommendation,3,Male,35-44,Frequent Players - Tech Savvy,Professional
R002,q11_feature_importance,4,Male,35-44,Frequent Players - Tech Savvy,Professional
R002,q12_current_lottery_play,2,Male,35-44,Frequent Players - Tech Savvy,Professional
R002,q13_price_preference,1,Male,35-44,Frequent Players - Tech Savvy,Professional
R002,q14_usage_frequency,4,Male,35-44,Frequent Players - Tech Savvy,Professional
R003,q1_purchase_intent,4,Male,25-34,Frequent Players - Tech Savvy,Technical
R003,q2_uniqueness,1,Male,25-34,Frequent Players - Tech Savvy,Technical
R003,q3_value_for_money,3,Male,25-34,Frequent Players - Tech Savvy,Technical
R003,q4_likeability,5,Male,25-34,Frequent Players - Tech Savvy,Technical
R003,q5_relevance,1,Male,25-34,Frequent Players - Tech Savvy,Technical
R003,q6_excitement,2,Male,25-34,Frequent Players - Tech Savvy,Technical
R003,q7_believability,1,Male,25-34,Frequent Players - Tech Savvy,Technical
R003,q8_understanding,7,Male,25-34,Frequent Players - Tech Savvy,Technical
R003,q9_trust,5,Male,25-34,Frequent Players - Tech Savvy,Technical
R003,q10_recommendation,1,Male,25-34,Frequent Players - Tech Savvy,Technical
R003,q11_feature_importance,7,Male,25-34,Frequent Players - Tech Savvy,Technical
R003,q12_current_lottery_play,2,Male,25-34,Frequent Players - Tech Savvy,Technical
R003,q13_price_preference,3,Male,25-34,Frequent Players - Tech Savvy,Technical
R003,q14_usage_frequency,4,Male,25-34,Frequent Players - Tech Savvy,Technical
R004,q1_purchase_intent,4,Male,25-34,Frequent Players - Tech Savvy,Manager
R004,q2_uniqueness,1,Male,25-34,Frequent Players - Tech Savvy,Manager
R004,q3_value_for_money,3,Male,25-34,Frequent Players - Tech Savvy,Manager
R004,q4_likeability,6,Male,25-34,Frequent Players - Tech Savvy,Manager
R004,q5_relevance,5,Male,25-34,Frequent Players - Tech Savvy,Manager
R004,q6_excitement,3,Male,25-34,Frequent Players - Tech Savvy,Manager
R004,q7_believability,3,Male,25-34,Frequent Players - Tech Savvy,Manager
R004,q8_understanding,7,Male,25-34,Frequent Players - Tech Savvy,Manager
R004,q9_trust,5,Male,25-34,Frequent Players - Tech Savvy,Manager
R004,q10_recommendation,5,Male,25-34,Frequent Players - Tech Savvy,Manager
R004,q11_feature_importance,5,Male,25-34,Frequent Players - Tech Savvy,Manager
R004,q12_current_lottery_play,2,Male,25-34,Frequent Players - Tech Savvy,Manager
R004,q13_price_preference,3,Male,25-34,Frequent Players - Tech Savvy,Manager
R004,q14_usage_frequency,4,Male,25-34,Frequent Players - Tech Savvy,Manager
R005,q1_purchase_intent,1,Male,45-54,Frequent Players - Tech Savvy,Professional
R005,q2_uniqueness,2,Male,45-54,Frequent Players - Tech Savvy,Professional
R005,q3_value_for_money,1,Male,45-54,Frequent Players - Tech Savvy,Professional
R005,q4_likeability,4,Male,45-54,Frequent Players - Tech Savvy,Professional
R005,q5_relevance,2,Male,45-54,Frequent Players - Tech Savvy,Professional
R005,q6_excitement,3,Male,45-54,Frequent Players - Tech Savvy,Professional
R005,q7_believability,4,Male,45-54,Frequent Players - Tech Savvy,Professional
R005,q8_understanding,1,Male,45-54,Frequent Players - Tech Savvy,Professional
R005,q9_trust,5,Male,45-54,Frequent Players - Tech Savvy,Professional
R005,q10_recommendation,5,Male,45-54,Frequent Players - Tech Savvy,Professional
R005,q11_feature_importance,5,Male,45-54,Frequent Players - Tech Savvy,Professional
R005,q12_current_lottery_play,1,Male,45-54,Frequent Players - Tech Savvy,Professional
R005,q13_price_preference,2,Male,45-54,Frequent Players - Tech Savvy,Professional
R005,q14_usage_frequency,2,Male,45-54,Frequent Players - Tech Savvy,Professional
R006,q1_purchase_intent,3,Male,25-34,Frequent Players - Tech Savvy,Professional
R006,q2_uniqueness,3,Male,25-34,Frequent Players - Tech Savvy,Professional
R006,q3_value_for_money,3,Male,25-34,Frequent Players - Tech Savvy,Professional
R006,q4_likeability,7,Male,25-34,Frequent Players - Tech Savvy,Professional
R006,q5_relevance,5,Male,25-34,Frequent Players - Tech Savvy,Professional
R006,q6_excitement,4,Male,25-34,Frequent Players - Tech Savvy,Professional
R006,q7_believability,5,Male,25-34,Frequent Players - Tech Savvy,Professional
R006,q8_understanding,5,Male,25-34,Frequent Players - Tech Savvy,Professional
R006,q9_trust,2,Male,25-34,Frequent Players - Tech Savvy,Professional
R006,q10_recommendation,4,Male,25-34,Frequent Players - Tech Savvy,Professional
R006,q11_feature_importance,6,Male,25-34,Frequent Players - Tech Savvy,Professional
R006,q12_current_lottery_play,1,Male,25-34,Frequent Players - Tech Savvy,Professional
R006,q13_price_preference,4,Male,25-34,Frequent Players - Tech Savvy,Professional
R006,q14_usage_frequency,6,Male,25-34,Frequent Players - Tech Savvy,Professional
R007,q1_purchase_intent,4,Female,25-34,Frequent Players - Tech Savvy,Technical
R007,q2_uniqueness,3,Female,25-34,Frequent Players - Tech Savvy,Technical
R007,q3_value_for_money,5,Female,25-34,Frequent Players - Tech Savvy,Technical
R007,q4_likeability,7,Female,25-34,Frequent Players - Tech Savvy,Technical
R007,q5_relevance,3,Female,25-34,Frequent Players - Tech Savvy,Technical
R007,q6_excitement,4,Female,25-34,Frequent Players - Tech Savvy,Technical
R007,q7_believability,4,Female,25-34,Frequent Players - Tech Savvy,Technical
R007,q8_understanding,4,Female,25-34,Frequent Players - Tech Savvy,Technical
R007,q9_trust,2,Female,25-34,Frequent Players - Tech Savvy,Technical
R007,q10_recommendation,3,Female,25-34,Frequent Players - Tech Savvy,Technical
R007,q11_feature_importance,5,Female,25-34,Frequent Players - Tech Savvy,Technical
R007,q12_current_lottery_play,2,Female,25-34,Frequent Players - Tech Savvy,Technical
R007,q13_price_preference,3,Female,25-34,Frequent Players - Tech Savvy,Technical
R007,q14_usage_frequency,6,Female,25-34,Frequent Players - Tech Savvy,Technical
R008,q1_purchase_intent,3,Female,35-44,Frequent Players - Tech Savvy,Manager
R008,q2_uniqueness,5,Female,35-44,Frequent Players - Tech Savvy,Manager
R008,q3_value_for_money,5,Female,35-44,Frequent Players - Tech Savvy,Manager
R008,q4_likeability,7,Female,35-44,Frequent Players - Tech Savvy,Manager
R008,q5_relevance,4,Female,35-44,Frequent Players - Tech Savvy,Manager
R008,q6_excitement,3,Female,35-44,Frequent Players - Tech Savvy,Manager
R008,q7_believability,5,Female,35-44,Frequent Players - Tech Savvy,Manager
R008,q8_understanding,7,Female,35-44,Frequent Players - Tech Savvy,Manager
R008,q9_trust,4,Female,35-44,Frequent Players - Tech Savvy,Manager
R008,q10_recommendation,5,Female,35-44,Frequent Players - Tech Savvy,Manager
R008,q11_feature_importance,7,Female,35-44,Frequent Players - Tech Savvy,Manager
R008,q12_current_lottery_play,1,Female,35-44,Frequent Players - Tech Savvy,Manager
R008,q13_price_preference,1,Female,35-44,Frequent Players - Tech Savvy,Manager
R008,q14_usage_frequency,3,Female,35-44,Frequent Players - Tech Savvy,Manager
R009,q1_purchase_intent,5,Female,35-44,Frequent Players - Tech Savvy,Manager
R009,q2_uniqueness,5,Female,35-44,Frequent Players - Tech Savvy,Manager
R009,q3_value_for_money,2,Female,35-44,Frequent Players - Tech Savvy,Manager
R009,q4_likeability,3,Female,35-44,Frequent Players - Tech Savvy,Manager
R009,q5_relevance,3,Female,35-44,Frequent Players - Tech Savvy,Manager
R009,q6_excitement,2,Female,35-44,Frequent Players - Tech Savvy,Manager
R009,q7_believability,3,Female,35-44,Frequent Players - Tech Savvy,Manager
R009,q8_understanding,5,Female,35-44,Frequent Players - Tech Savvy,Manager
R009,q9_trust,3,Female,35-44,Frequent Players - Tech Savvy,Manager
R009,q10_recommendation,4,Female,35-44,Frequent Players - Tech Savvy,Manager
R009,q11_feature_importance,4,Female,35-44,Frequent Players - Tech Savvy,Manager
R009,q12_current_lottery_play,1,Female,35-44,Frequent Players - Tech Savvy,Manager
R009,q13_price_preference,2,Female,35-44,Frequent Players - Tech Savvy,Manager
R009,q14_usage_frequency,3,Female,35-44,Frequent Players - Tech Savvy,Manager
R010,q1_purchase_intent,3,Male,25-34,Frequent Players - Tech Savvy,Professional
R010,q2_uniqueness,2,Male,25-34,Frequent Players - Tech Savvy,Professional
R010,q3_value_for_money,3,Male,25-34,Frequent Players - Tech Savvy,Professional
R010,q4_likeability,4,Male,25-34,Frequent Players - Tech Savvy,Professional
R010,q5_relevance,1,Male,25-34,Frequent Players - Tech Savvy,Professional
R010,q6_excitement,2,Male,25-34,Frequent Players - Tech Savvy,Professional
R010,q7_believability,5,Male,25-34,Frequent Players - Tech Savvy,Professional
R010,q8_understanding,1,Male,25-34,Frequent Players - Tech Savvy,Professional
R010,q9_trust,1,Male,25-34,Frequent Players - Tech Savvy,Professional
R010,q10_recommendation,2,Male,25-34,Frequent Players - Tech Savvy,Professional
R010,q11_feature_importance,5,Male,25-34,Frequent Players - Tech Savvy,Professional
R010,q12_current_lottery_play,2,Male,25-34,Frequent Players - Tech Savvy,Professional
R010,q13_price_preference,4,Male,25-34,Frequent Players - Tech Savvy,Professional
R010,q14_usage_frequency,6,Male,25-34,Frequent Players - Tech Savvy,Professional
R011,q1_purchase_intent,1,Female,45-54,Frequent Players - Tech Savvy,Manager
R011,q2_uniqueness,4,Female,45-54,Frequent Players - Tech Savvy,Manager
R011,q3_value_for_money,3,Female,45-54,Frequent Players - Tech Savvy,Manager
R011,q4_likeability,2,Female,45-54,Frequent Players - Tech Savvy,Manager
R011,q5_relevance,5,Female,45-54,Frequent Players - Tech Savvy,Manager
R011,q6_excitement,2,Female,45-54,Frequent Players - Tech Savvy,Manager
R011,q7_believability,5,Female,45-54,Frequent Players - Tech Savvy,Manager
R011,q8_understanding,5,Female,45-54,Frequent Players - Tech Savvy,Manager
R011,q9_trust,1,Female,45-54,Frequent Players - Tech Savvy,Manager
R011,q10_recommendation,2,Female,45-54,Frequent Players - Tech Savvy,Manager
R011,q11_feature_importance,2,Female,45-54,Frequent Players - Tech Savvy,Manager
R011,q12_current_lottery_play,1,Female,45-54,Frequent Players - Tech Savvy,Manager
R011,q13_price_preference,3,Female,45-54,Frequent Players - Tech Savvy,Manager
R011,q14_usage_frequency,5,Female,45-54,Frequent Players - Tech Savvy,Manager
R012,q1_purchase_intent,3,Male,35-44,Frequent Players - Tech Savvy,Manager
R012,q2_uniqueness,2,Male,35-44,Frequent Players - Tech Savvy,Manager
R012,q3_value_for_money,3,Male,35-44,Frequent Players - Tech Savvy,Manager
R012,q4_likeability,4,Male,35-44,Frequent Players - Tech Savvy,Manager
R012,q5_relevance,2,Male,35-44,Frequent Players - Tech Savvy,Manager
R012,q6_excitement,2,Male,35-44,Frequent Players - Tech Savvy,Manager
R012,q7_believability,2,Male,35-44,Frequent Players - Tech Savvy,Manager
R012,q8_understanding,4,Male,35-44,Frequent Players - Tech Savvy,Manager
R012,q9_trust,3,Male,35-44,Frequent Players - Tech Savvy,Manager
R012,q10_recommendation,5,Male,35-44,Frequent Players - Tech Savvy,Manager
R012,q11_feature_importance,6,Male,35-44,Frequent Players - Tech Savvy,Manager
R012,q12_current_lottery_play,2,Male,35-44,Frequent Players - Tech Savvy,Manager
R012,q13_price_preference,2,Male,35-44,Frequent Players - Tech Savvy,Manager
R012,q14_usage_frequency,3,Male,35-44,Frequent Players - Tech Savvy,Manager
R013,q1_purchase_intent,4,Female,25-34,Frequent Players - Tech Savvy,Manager
R013,q2_uniqueness,4,Female,25-34,Frequent Players - Tech Savvy,Manager
R013,q3_value_for_money,1,Female,25-34,Frequent Players - Tech Savvy,Manager
R013,q4_likeability,1,Female,25-34,Frequent Players - Tech Savvy,Manager
R013,q5_relevance,3,Female,25-34,Frequent Players - Tech Savvy,Manager
R013,q6_excitement,1,Female,25-34,Frequent Players - Tech Savvy,Manager
R013,q7_believability,5,Female,25-34,Frequent Players - Tech Savvy,Manager
R013,q8_understanding,6,Female,25-34,Frequent Players - Tech Savvy,Manager
R013,q9_trust,3,Female,25-34,Frequent Players - Tech Savvy,Manager
R013,q10_recommendation,2,Female,25-34,Frequent Players - Tech Savvy,Manager
R013,q11_feature_importance,1,Female,25-34,Frequent Players - Tech Savvy,Manager
R013,q12_current_lottery_play,2,Female,25-34,Frequent Players - Tech Savvy,Manager
R013,q13_price_preference,3,Female,25-34,Frequent Players - Tech Savvy,Manager
R013,q14_usage_frequency,6,Female,25-34,Frequent Players - Tech Savvy,Manager
R014,q1_purchase_intent,2,Male,45-54,Frequent Players - Tech Savvy,Manager
R014,q2_uniqueness,2,Male,45-54,Frequent Players - Tech Savvy,Manager
R014,q3_value_for_money,2,Male,45-54,Frequent Players - Tech Savvy,Manager
R014,q4_likeability,6,Male,45-54,Frequent Players - Tech Savvy,Manager
R014,q5_relevance,3,Male,45-54,Frequent Players - Tech Savvy,Manager
R014,q6_excitement,4,Male,45-54,Frequent Players - Tech Savvy,Manager
R014,q7_believability,5,Male,45-54,Frequent Players - Tech Savvy,Manager
R014,q8_understanding,2,Male,45-54,Frequent Players - Tech Savvy,Manager
R014,q9_trust,1,Male,45-54,Frequent Players - Tech Savvy,Manager
R014,q10_recommendation,4,Male,45-54,Frequent Players - Tech Savvy,Manager
R014,q11_feature_importance,7,Male,45-54,Frequent Players - Tech Savvy,Manager
R014,q12_current_lottery_play,2,Male,45-54,Frequent Players - Tech Savvy,Manager
R014,q13_price_preference,2,Male,45-54,Frequent Players - Tech Savvy,Manager
R014,q14_usage_frequency,4,Male,45-54,Frequent Players - Tech Savvy,Manager
R015,q1_purchase_intent,5,Male,45-54,Frequent Players - Tech Savvy,Technical
R015,q2_uniqueness,5,Male,45-54,Frequent Players - Tech Savvy,Technical
R015,q3_value_for_money,3,Male,45-54,Frequent Players - Tech Savvy,Technical
R015,q4_likeability,5,Male,45-54,Frequent Players - Tech Savvy,Technical
R015,q5_relevance,4,Male,45-54,Frequent Players - Tech Savvy,Technical
R015,q6_excitement,5,Male,45-54,Frequent Players - Tech Savvy,Technical
R015,q7_believability,4,Male,45-54,Frequent Players - Tech Savvy,Technical
R015,q8_understanding,7,Male,45-54,Frequent Players - Tech Savvy,Technical
R015,q9_trust,5,Male,45-54,Frequent Players - Tech Savvy,Technical
R015,q10_recommendation,2,Male,45-54,Frequent Players - Tech Savvy,Technical
R015,q11_feature_importance,5,Male,45-54,Frequent Players - Tech Savvy,Technical
R015,q12_current_lottery_play,2,Male,45-54,Frequent Players - Tech Savvy,Technical
R015,q13_price_preference,1,Male,45-54,Frequent Players - Tech Savvy,Technical
R015,q14_usage_frequency,5,Male,45-54,Frequent Players - Tech Savvy,Technical
R016,q1_purchase_intent,5,Male,35-44,Frequent Players - Tech Savvy,Technical
R016,q2_uniqueness,5,Male,35-44,Frequent Players - Tech Savvy,Technical
R016,q3_value_for_money,2,Male,35-44,Frequent Players - Tech Savvy,Technical
R016,q4_likeability,5,Male,35-44,Frequent Players - Tech Savvy,Technical
R016,q5_relevance,3,Male,35-44,Frequent Players - Tech Savvy,Technical
R016,q6_excitement,3,Male,35-44,Frequent Players - Tech Savvy,Technical
R016,q7_believability,5,Male,35-44,Frequent Players - Tech Savvy,Technical
R016,q8_understanding,4,Male,35-44,Frequent Players - Tech Savvy,Technical
R016,q9_trust,3,Male,35-44,Frequent Players - Tech Savvy,Technical
R016,q10_recommendation,2,Male,35-44,Frequent Players - Tech Savvy,Technical
R016,q11_feature_importance,2,Male,35-44,Frequent Players - Tech Savvy,Technical
R016,q12_current_lottery_play,2,Male,35-44,Frequent Players - Tech Savvy,Technical
R016,q13_price_preference,1,Male,35-44,Frequent Players - Tech Savvy,Technical
R016,q14_usage_frequency,4,Male,35-44,Frequent Players - Tech Savvy,Technical
R017,q1_purchase_intent,4,Female,45-54,Frequent Players - Tech Savvy,Technical
R017,q2_uniqueness,5,Female,45-54,Frequent Players - Tech Savvy,Technical
R017,q3_value_for_money,4,Female,45-54,Frequent Players - Tech Savvy,Technical
R017,q4_likeability,4,Female,45-54,Frequent Players - Tech Savvy,Technical
R017,q5_relevance,3,Female,45-54,Frequent Players - Tech Savvy,Technical
R017,q6_excitement,5,Female,45-54,Frequent Players - Tech Savvy,Technical
R017,q7_believability,2,Female,45-54,Frequent Players - Tech Savvy,Technical
R017,q8_understanding,3,Female,45-54,Frequent Players - Tech Savvy,Technical
R017,q9_trust,5,Female,45-54,Frequent Players - Tech Savvy,Technical
R017,q10_recommendation,1,Female,45-54,Frequent Players - Tech Savvy,Technical
R017,q11_feature_importance,5,Female,45-54,Frequent Players - Tech Savvy,Technical
R017,q12_current_lottery_play,1,Female,45-54,Frequent Players - Tech Savvy,Technical
R017,q13_price_preference,2,Female,45-54,Frequent Players - Tech Savvy,Technical
R017,q14_usage_frequency,1,Female,45-54,Frequent Players - Tech Savvy,Technical
R018,q1_purchase_intent,1,Male,45-54,Frequent Players - Tech Savvy,Professional
R018,q2_uniqueness,1,Male,45-54,Frequent Players - Tech Savvy,Professional
R018,q3_value_for_money,1,Male,45-54,Frequent Players - Tech Savvy,Professional
R018,q4_likeability,5,Male,45-54,Frequent Players - Tech Savvy,Professional
R018,q5_relevance,3,Male,45-54,Frequent Players - Tech Savvy,Professional
R018,q6_excitement,5,Male,45-54,Frequent Players - Tech Savvy,Professional
R018,q7_believability,2,Male,45-54,Frequent Players - Tech Savvy,Professional
R018,q8_understanding,2,Male,45-54,Frequent Players - Tech Savvy,Professional
R018,q9_trust,4,Male,45-54,Frequent Players - Tech Savvy,Professional
R018,q10_recommendation,5,Male,45-54,Frequent Players - Tech Savvy,Professional
R018,q11_feature_importance,4,Male,45-54,Frequent Players - Tech Savvy,Professional
R018,q12_current_lottery_play,2,Male,45-54,Frequent Players - Tech Savvy,Professional
R018,q13_price_preference,3,Male,45-54,Frequent Players - Tech Savvy,Professional
R018,q14_usage_frequency,4,Male,45-54,Frequent Players - Tech Savvy,Professional
R019,q1_purchase_intent,5,Female,25-34,Frequent Players - Tech Savvy,Technical
R019,q2_uniqueness,5,Female,25-34,Frequent Players - Tech Savvy,Technical
R019,q3_value_for_money,5,Female,25-34,Frequent Players - Tech Savvy,Technical
R019,q4_likeability,2,Female,25-34,Frequent Players - Tech Savvy,Technical
R019,q5_relevance,5,Female,25-34,Frequent Players - Tech Savvy,Technical
R019,q6_excitement,3,Female,25-34,Frequent Players - Tech Savvy,Technical
R019,q7_believability,4,Female,25-34,Frequent Players - Tech Savvy,Technical
R019,q8_understanding,3,Female,25-34,Frequent Players - Tech Savvy,Technical
R019,q9_trust,1,Female,25-34,Frequent Players - Tech Savvy,Technical
R019,q10_recommendation,4,Female,25-34,Frequent Players - Tech Savvy,Technical
R019,q11_feature_importance,2,Female,25-34,Frequent Players - Tech Savvy,Technical
R019,q12_current_lottery_play,2,Female,25-34,Frequent Players - Tech Savvy,Technical
R019,q13_price_preference,4,Female,25-34,Frequent Players - Tech Savvy,Technical
R019,q14_usage_frequency,4,Female,25-34,Frequent Players - Tech Savvy,Technical
R020,q1_purchase_intent,2,Female,45-54,Frequent Players - Tech Savvy,Professional
R020,q2_uniqueness,3,Female,45-54,Frequent Players - Tech Savvy,Professional
R020,q3_value_for_money,1,Female,45-54,Frequent Players - Tech Savvy,Professional
R020,q4_likeability,6,Female,45-54,Frequent Players - Tech Savvy,Professional
R020,q5_relevance,5,Female,45-54,Frequent Players - Tech Savvy,Professional
R020,q6_excitement,4,Female,45-54,Frequent Players - Tech Savvy,Professional
R020,q7_believability,2,Female,45-54,Frequent Players - Tech Savvy,Professional
R020,q8_understanding,7,Female,45-54,Frequent Players - Tech Savvy,Professional
R020,q9_trust,5,Female,45-54,Frequent Players - Tech Savvy,Professional
R020,q10_recommendation,1,Female,45-54,Frequent Players - Tech Savvy,Professional
R020,q11_feature_importance,2,Female,45-54,Frequent Players - Tech Savvy,Professional
R020,q12_current_lottery_play,2,Female,45-54,Frequent Players - Tech Savvy,Professional
R020,q13_price_preference,1,Female,45-54,Frequent Players - Tech Savvy,Professional
R020,q14_usage_frequency,5,Female,45-54,Frequent Players - Tech Savvy,Professional
R021,q1_purchase_intent,5,Female,25-34,Frequent Players - Tech Savvy,Technical
R021,q2_uniqueness,2,Female,25-34,Frequent Players - Tech Savvy,Technical
R021,q3_value_for_money,4,Female,25-34,Frequent Players - Tech Savvy,Technical
R021,q4_likeability,1,Female,25-34,Frequent Players - Tech Savvy,Technical
R021,q5_relevance,2,Female,25-34,Frequent Players - Tech Savvy,Technical
R021,q6_excitement,5,Female,25-34,Frequent Players - Tech Savvy,Technical
R021,q7_believability,4,Female,25-34,Frequent Players - Tech Savvy,Technical
R021,q8_understanding,5,Female,25-34,Frequent Players - Tech Savvy,Technical
R021,q9_trust,5,Female,25-34,Frequent Players - Tech Savvy,Technical
R021,q10_recommendation,1,Female,25-34,Frequent Players - Tech Savvy,Technical
R021,q11_feature_importance,1,Female,25-34,Frequent Players - Tech Savvy,Technical
R021,q12_current_lottery_play,1,Female,25-34,Frequent Players - Tech Savvy,Technical
R021,q13_price_preference,3,Female,25-34,Frequent Players - Tech Savvy,Technical
R021,q14_usage_frequency,3,Female,25-34,Frequent Players - Tech Savvy,Technical
R022,q1_purchase_intent,5,Female,35-44,Frequent Players - Tech Savvy,Technical
R022,q2_uniqueness,5,Female,35-44,Frequent Players - Tech Savvy,Technical
R022,q3_value_for_money,2,Female,35-44,Frequent Players - Tech Savvy,Technical
R022,q4_likeability,4,Female,35-44,Frequent Players - Tech Savvy,Technical
R022,q5_relevance,3,Female,35-44,Frequent Players - Tech Savvy,Technical
R022,q6_excitement,1,Female,35-44,Frequent Players - Tech Savvy,Technical
R022,q7_believability,1,Female,35-44,Frequent Players - Tech Savvy,Technical
R022,q8_understanding,6,Female,35-44,Frequent Players - Tech Savvy,Technical
R022,q9_trust,2,Female,35-44,Frequent Players - Tech Savvy,Technical
R022,q10_recommendation,4,Female,35-44,Frequent Players - Tech Savvy,Technical
