respondent_id,question_id,ground_truth,category,gender,age_group,persona_group,occupation
R001,purchase_intent,2,general,Male,35-44,Busy Professionals,Professional
R001,value_for_money,1,general,Male,35-44,Busy Professionals,Professional
R001,likeability,2,general,Male,35-44,Busy Professionals,Professional
R001,uniqueness,3,general,Male,35-44,Busy Professionals,Professional
R001,relevance,1,general,Male,35-44,Busy Professionals,Professional
R001,recommendation,1,general,Male,35-44,Busy Professionals,Professional
R001,current_meal_kit_user,1,general,Male,35-44,Busy Professionals,Professional
R001,most_important_feature,4,general,Male,35-44,Busy Professionals,Professional
R002,purchase_intent,1,general,Female,25-34,Busy Professionals,Manager
R002,value_for_money,3,general,Female,25-34,Busy Professionals,Manager
R002,likeability,7,general,Female,25-34,Busy Professionals,Manager
R002,uniqueness,2,general,Female,25-34,Busy Professionals,Manager
R002,relevance,1,general,Female,25-34,Busy Professionals,Manager
R002,recommendation,1,general,Female,25-34,Busy Professionals,Manager
R002,current_meal_kit_user,1,general,Female,25-34,Busy Professionals,Manager
R002,most_important_feature,6,general,Female,25-34,Busy Professionals,Manager
R003,purchase_intent,5,general,Female,25-34,Busy Professionals,Professional
R003,value_for_money,1,general,Female,25-34,Busy Professionals,Professional
R003,likeability,6,general,Female,25-34,Busy Professionals,Professional
R003,uniqueness,2,general,Female,25-34,Busy Professionals,Professional
R003,relevance,3,general,Female,25-34,Busy Professionals,Professional
R003,recommendation,5,general,Female,25-34,Busy Professionals,Professional
R003,current_meal_kit_user,2,general,Female,25-34,Busy Professionals,Professional
R003,most_important_feature,3,general,Female,25-34,Busy Professionals,Professional
R004,purchase_intent,1,general,Female,25-34,Busy Professionals,Manager
R004,value_for_money,2,general,Female,25-34,Busy Professionals,Manager
R004,likeability,1,general,Female,25-34,Busy Professionals,Manager
R004,uniqueness,2,general,Female,25-34,Busy Professionals,Manager
R004,relevance,4,general,Female,25-34,Busy Professionals,Manager
R004,recommendation,1,general,Female,25-34,Busy Professionals,Manager
R004,current_meal_kit_user,2,general,Female,25-34,Busy Professionals,Manager
R004,most_important_feature,4,general,Female,25-34,Busy Professionals,Manager
R005,purchase_intent,1,general,Female,25-34,Busy Professionals,Professional
R005,value_for_money,2,general,Female,25-34,Busy Professionals,Professional
R005,likeability,1,general,Female,25-34,Busy Professionals,Professional
